NORAD ID,Longitude,Compliant,Highest-Maturity Filing Type,Brought-into-Use,Due Diligence Match,Suspension Status
26388,89.53,Yes 🟢,Due Diligence (U),Yes,n/a,Resumed
40345,89.95,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
47202,90.8,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37763,91.24,No 🔴,n/a,n/a,n/a,n/a
35362,91.51,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
52904,91.52,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40147,91.55,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
33051,92.23,Yes 🟢,Due Diligence (U),Yes,Full,n/a
56372,93.25,No 🔴,n/a,n/a,n/a,n/a
42815,93.49,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41028,93.56,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43488,94.99,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39460,95.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
45985,96.51,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42695,97.28,Yes 🟢,Due Diligence (U),Yes,Full,n/a
39157,97.91,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
49062,98.03,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
38352,98.28,Yes 🟢,Due Diligence (U),Yes,Full,n/a
32404,98.57,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
35696,100.54,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
49125,101.44,Yes 🟢,Due Diligence (U),Yes,Full,n/a
50002,102.91,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41021,103.44,No 🔴,n/a,n/a,n/a,n/a
41882,104.61,No 🔴,n/a,n/a,n/a,n/a
37933,105.45,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41194,105.7,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41434,106.91,No 🔴,n/a,n/a,n/a,n/a
44978,107.56,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43587,108.03,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
34941,108.24,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
41380,108.33,No 🔴,n/a,n/a,n/a,n/a
37207,109.86,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
32019,109.86,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42951,109.87,Yes 🟢,Due Diligence (U),Yes,Full,n/a
46112,109.89,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
44337,109.9,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41903,110.07,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
45807,110.4,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42662,110.5,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
37677,110.52,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41586,110.66,No 🔴,n/a,n/a,n/a,n/a
