New Name,Old Name
INTELSAT8 183E,INTELSAT FOS 183E
INTELSAT8 319.5E,INTELSAT FOS 319.5E
INTELSAT8 325.5E,INTELSAT FOS 325.5E
INTELSAT8 328.5E,INTELSAT8 329E
INTELSAT8 338.5E,INTELSAT FOS 338.5E
INTELSAT8 342E,INTELSAT FOS 342E
INTELSAT8 57E,INTELSAT FOS 57E
INTELSAT8 66E,INTELSAT FOS 66E
INTELSAT9 174E,INTELSAT9 338.5E
INTELSAT9 33E,INTELSAT9 319.5E
INTERSPUTNIK-113W,INTERSPUTNIK-111.1W
INTERSPUTNIK-114.5EM,INTERSPUTNIK-114E-M
INTERSPUTNIK-164E,INTERSPUTNIK-165E
INTERSPUTNIK-26W,INTERSPUTNIK-24W
INTERSPUTNIK-52.5W,INTERSPUTNIK-55W
INTERSPUTNIK-62.5E,INTERSPUTNIK-58.5E
INTERSPUTNIK-67.4E,INTERSPUTNIK-64.2E
INTERSPUTNIK-87W,INTERSPUTNIK-85.2W
INTERSPUTNIK-97.8W,INTERSPUTNIK-99.7W
ISS-USOS-RPOD,ISS-ORION
ITALSAT 13.2E,ITALSAT
JMCS-72E,JMCS-68E
JMCS-82E,JMCS-80E
JMCS-93E,JMCS-92E
JMCS-93E,N-SAT-93E
KORBSAT-113E,KORBSAT-110E
KOREASAT 3-1,KOMPSAT-3-1
KOREASAT 5-1,KOMPSAT-5-1
KOREASAT 6-1,KOMPSAT-6-1
KOREASAT 7-1,KOMPSAT-7-1
KTSAT-11E,KTSAT-10E
KYPROS-APHRODITE-3,ONETEL-90E
LABSAT,BIO-NANOSATELITA
LB-SAT-133E,MCSAT-4E132
LH-SAT 151.5E,MCSAT-2 E156
LM-RPS-107.3W,LM-RPS-109W
LM-RPS-109W,LM-RPS-107.3W
LM-RPS-133W,LM-RPS-129W
LOGOHU-V-81E,LOGOHU-V-80E
LUX-G3-26-A,LUX-G3-26
LUX-G3-27-A,LUX-G3-27
LUX-G3-29-B,LUX-G3-29
LUX-G3-30-A,LUX-G3-30
LUX-G3-31-A,LUX-G3-31
LUX-G3-31-B,LUX-G3-31
LUX-G3-32-A,LUX-G3-32
LUX-G3-33-A,LUX-G3-33
MADAR-123W,MADAR-G1-125W
MADAR-124W,YAHSAT-G8-120W
MADAR-142E,YAHSAT-G8-140E
MADAR-142E-2,MADAR-G1-140E
MADAR-15E,MADAR-G1-15E
MADAR-160E,YAHSAT-G8-160E
MADAR-160E-2,MADAR-G1-160E
MADAR-166E,YAHSAT-G8-170E
MADAR-16W,YAHSAT-G10-15W
MADAR-18W,YAHSAT-G10-20W
MADAR-20W,YAHSAT-G10-25W
MADAR-20W-2,EMARSAT-12Z-M
MADAR-28W,YAHSAT-G7-30W
MADAR-28W-2,YAHSAT-G8-30W
MADAR-33.5E,MADAR-G1-35E
MADAR-33E-2,EMARSAT-12C
MADAR-43W,YAHSAT-G7-40W
MADAR-45W,YAHSAT-G9-45W
MADAR-46E,YAHSAT-G7-45E
MADAR-47.5E,YAHSAT-G7-47E
MADAR-47.5E-2,EMARSAT-12D
MADAR-5.5E,YAHSAT-G10-0E
MADAR-50.5E,YAHSAT-G7-50E
MADAR-50.5E-2,YAHSAT-G9-50E
MADAR-50W,YAHSAT-G8-50W
MADAR-52.5E,YAHSAT-G8-52.5E
MADAR-52.5E-2,EMARSAT-12G
MADAR-55E,MADAR-G1-55E
MADAR-57E,YAHSAT-G7-57E
MADAR-57E-2,YAHSAT-G10-57E
MADAR-57W,YAHSAT-G9-55W
MADAR-60E,YAHSAT-G8-60E
MADAR-60E-2,EMARSAT-12E
MADAR-63E,EMARSAT-12H
MADAR-70W,YAHSAT-G9-70W
MADAR-72.5E,YAHSAT-G8-70E
MADAR-72.5E-2,MADAR-G1-70E
MADAR-73W,YAHSAT-G10-73W
MADAR-81W,YAHSAT-G9-80W
MADAR-85E,YAHSAT-G10-85E
MADAR-91.5E,YAHSAT-G10-90E
MADAR-93W,MADAR-G1-90W
MADAR-95W,YAHSAT-G10-95W
MARECS ATL1,MARECS-D
MARECS ATL2,MARECS-A
MARECS ATL-5,MARECS ARL3
MARECS MED-1,MARECS IND1
MARECS PAC1,MARECS-B
MARISAT-CONUS,MARISAT-ATL
MCSAT-2 MEO-2,MCSAT-2 MEO
MEASAT-1,MEASAT-IK 91.5E
MEASAT-13.4E,MEASAT-18E
